source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,sources,tfregulons_level
O75030,P05067,MITF,APP,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q5THJ4,MITF,VPS13D,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O43175,MITF,PHGDH,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P40763,MITF,STAT3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9UPN3,MITF,MACF1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q08499,MITF,PDE4D,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q13332,MITF,PTPRS,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q9H2M9,MITF,RAB3GAP2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,P55884,MITF,EIF3B,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,P61421,MITF,ATP6V0D1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q96K83,MITF,ZNF521,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O60861,MITF,GAS7,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O75791,MITF,GRAP2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9UPV9,MITF,TRAK1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9BXH1,MITF,BBC3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9UL33,MITF,TRAPPC2L,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,P32189,MITF,GK,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q9BZE9,MITF,ASPSCR1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,P06396,MITF,GSN,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;PAZAR;ReMap,B
O75030,Q8IVL1,MITF,NAV2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q07812,MITF,BAX,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q14511,MITF,NEDD9,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q14005,MITF,IL16,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9UQ03,MITF,CORO2B,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q8NCL8,MITF,TMEM116,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,P42224,MITF,STAT1,1,0,0,0,0,0,NA,DoRothEA;PAZAR,C;D
P42224,O75030,STAT1,MITF,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C;D
O75030,Q92636,MITF,NSMAF,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q12830,MITF,BPTF,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q9C0B1,MITF,FTO,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O75410,MITF,TACC1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;PAZAR;ReMap,B
O75030,Q9UJU2,MITF,LEF1,1,0,0,0,0,0,NA,DoRothEA;PAZAR,A;D
Q9UJU2,O75030,LEF1,MITF,1,1,0,1,1,0,NA,DoRothEA;FANTOM4;KEGG;RegNetwork;TRED;TRRUST,A;D
O75030,Q8IXR5,MITF,FAM178B,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q68DA7,MITF,FMN1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9UQB8,MITF,BAIAP2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
Q9HCS4,O75030,TCF7L1,MITF,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;KEGG,C
O75030,Q14155,MITF,ARHGEF7,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9HCN3,MITF,TMEM8A,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,P19634,MITF,SLC9A1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9ULD9,MITF,ZNF608,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q13492,MITF,PICALM,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q08462,MITF,ADCY2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q8N264,MITF,ARHGAP24,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;PAZAR;ReMap,B
O75030,Q06330,MITF,RBPJ,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;PAZAR;ReMap,B
O75030,Q8WWT9,MITF,SLC13A3,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,O14924,MITF,RGS12,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,P17655,MITF,CAPN2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q6ICG6,MITF,KIAA0930,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9UHQ1,MITF,NARF,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P52739,MITF,ZNF131,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9ULX9,MITF,MAFF,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C;D
Q9ULX9,O75030,MAFF,MITF,1,0,0,0,0,0,NA,DoRothEA;ReMap,C;D
O75030,O94988,MITF,FAM13A,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR;ReMap,B
O75030,Q96BY6,MITF,DOCK10,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9UPQ9,MITF,TNRC6B,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,A1L390,MITF,PLEKHG3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P49796,MITF,RGS3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q68CZ2,MITF,TNS3,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR;ReMap,B
O75030,Q13469,MITF,NFATC2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9H6Z9,MITF,EGLN3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9NR34,MITF,MAN1C1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,A3KN83,MITF,SBNO1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
O75030,P15907,MITF,ST6GAL1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O00167,MITF,EYA2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q9BV36,MITF,MLPH,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9BV86,MITF,NTMT1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q9UBK2,MITF,PPARGC1A,1,1,0,1,1,0,NA,DoRothEA;PAZAR;ReMap;TRRUST,A
O75030,Q9Y3M8,MITF,STARD13,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;HOCOMOCO_v11;PAZAR;ReMap,A
O75030,Q9C0D0,MITF,PHACTR1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9ULV4,MITF,CORO1C,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9Y6D9,MITF,MAD1L1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O15327,MITF,INPP4B,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q96RN5,MITF,MED15,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q8WUY3,MITF,PRUNE2,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;PAZAR;ReMap,B
O75030,Q9C073,MITF,FAM117A,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;ReMap,C
O75030,Q13362,MITF,PPP2R5C,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;PAZAR;ReMap,B
O75030,Q13905,MITF,RAPGEF1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q03001,MITF,DST,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q8NG11,MITF,TSPAN14,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q70YC4,MITF,ZNF365,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P12830,MITF,CDH1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q96PG8,MITF,BBC3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O14503,MITF,BHLHE40,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B;D
O75030,P29558,MITF,RBMS1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9Y6X6,MITF,MYO16,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q14643,MITF,ITPR1,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;JASPAR_v2018;PAZAR;ReMap,A
O75030,Q9ULU4,MITF,ZMYND8,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q99685,MITF,MGLL,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P35221,MITF,CTNNA1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P10415,MITF,BCL2,1,1,0,1,1,0,NA,DoRothEA;PAZAR;TFactS,A
P55317,O75030,FOXA1,MITF,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR;ReMap,B
O75030,Q9HC98,MITF,NEK6,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O15315,MITF,RAD51B,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P06241,MITF,FYN,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P08473,MITF,MME,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O14508,MITF,SOCS2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,P61601,MITF,NCALD,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q8TBN0,MITF,RAB3IL1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,P23769,MITF,GATA2,1,0,0,0,0,0,NA,DoRothEA;PAZAR,B;D
P23769,O75030,GATA2,MITF,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B;D
O75030,P07339,MITF,CTSD,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,O60462,MITF,NRP2,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;PAZAR;ReMap,B
O75030,Q9HCE6,MITF,ARHGEF10L,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q16548,MITF,BCL2A1,1,0,1,1,0,1,NA,DoRothEA;PAZAR;TRRUST,A
O75030,Q70YC5,MITF,ZNF365,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P62879,MITF,GNB2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q08050,MITF,FOXM1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,O43150,MITF,ASAP2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O75937,MITF,DNAJC8,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q9UL25,MITF,RAB21,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q5VTB9,MITF,RNF220,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q8NBI6,MITF,XXYLT1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q14644,MITF,RASA3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q8IVW4,MITF,CDKL3,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,P84101,MITF,SERF2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,P08581,MITF,MET,1,1,0,1,1,0,NA,DoRothEA;PAZAR;ReMap;TFactS;TRRUST,A
O75030,Q14103,MITF,HNRNPD,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q8NBK3,MITF,SUMF1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q86YP4,MITF,GATAD2A,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P46926,MITF,GNPDA1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q5BN46,MITF,C9orf116,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q13451,MITF,FKBP5,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O95297,MITF,MPZL1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q8WUM4,MITF,PDCD6IP,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q53H82,MITF,LACTB2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q86UE4,MITF,MTDH,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,P56377,MITF,AP1S2,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,B
O75030,Q330K2,MITF,NDUFAF6,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q14161,MITF,GIT2,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
O75030,P42771,MITF,CDKN2A,1,0,1,1,0,1,NA,DoRothEA;PAZAR;TFactS,A
O75030,O75436,MITF,VPS26A,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q9ULD2,MITF,MTUS1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9Y2H6,MITF,FNDC3A,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,P52848,MITF,NDST1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9H7P9,MITF,PLEKHG2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,P48426,MITF,PIP4K2A,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;PAZAR;ReMap,B
O75030,O94804,MITF,STK10,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q7Z403,MITF,TMC6,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
P04150,O75030,NR3C1,MITF,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;ReMap,C
O75030,Q9UJJ9,MITF,GNPTG,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q12906,MITF,ILF3,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
O75030,P78537,MITF,BLOC1S1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q8N726,MITF,CDKN2A,1,0,1,1,0,1,NA,DoRothEA;PAZAR;TFactS,A
O75030,P39880,MITF,CUX1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P27694,MITF,RPA1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q969Q6,MITF,PPP2R3C,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q5TB80,MITF,CEP162,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q9Y2W1,MITF,THRAP3,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q9Y399,MITF,MRPS2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q15365,MITF,PCBP1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P84022,MITF,SMAD3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q3L8U1,MITF,CHD9,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q2KHT3,MITF,CLEC16A,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9NQW6,MITF,ANLN,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q92794,MITF,KAT6A,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q8NHX9,MITF,TPCN2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q86SQ9,MITF,DHDDS,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q15555,MITF,MAPRE2,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR;ReMap,A
O75030,Q9Y2G4,MITF,ANKRD6,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P51159,MITF,RAB27A,1,1,0,1,1,0,NA,DoRothEA;PAZAR;TFactS,A
O75030,Q8TB61,MITF,SLC35B2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q9UHD2,MITF,TBK1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
O75030,Q8N0X7,MITF,SPART,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;HOCOMOCO_v11;PAZAR,B
O75030,O60547,MITF,GMDS,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9ULB1,MITF,NRXN1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9BT22,MITF,ALG1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q96J84,MITF,KIRREL1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
O75030,P30825,MITF,SLC7A1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O60733,MITF,PLA2G6,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9UNF0,MITF,PACSIN2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9Y281,MITF,CFL2,1,0,0,1,0,0,NA,ARACNe-GTEx;DoRothEA;HOCOMOCO_v11;PAZAR,B
O75030,Q9UM73,MITF,ALK,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P20062,MITF,TCN2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q8WWI5,MITF,SLC44A1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9P000,MITF,COMMD9,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR;ReMap,B
O75030,Q8ND25,MITF,ZNRF1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O15498,MITF,YKT6,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q12913,MITF,PTPRJ,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9Y6J9,MITF,TAF6L,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,P27797,MITF,CALR,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
O75030,Q6YHU6,MITF,THADA,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q5T9C2,MITF,FAM102A,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P17483,MITF,HOXB4,1,0,0,1,0,0,NA,DoRothEA;HTRI;HTRIdb;TRRUST,A
O75030,Q71F56,MITF,MED13L,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q6PJG2,MITF,ELMSAN1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q8NFA0,MITF,USP32,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
O75030,Q9BXR0,MITF,QTRT1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q6P499,MITF,NIPAL3,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
O75030,Q96FE5,MITF,LINGO1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O15550,MITF,KDM6A,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q13303,MITF,KCNAB2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q13948,MITF,CUX1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O00400,MITF,SLC33A1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q8NEP3,MITF,DNAAF1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q9Y6D5,MITF,ARFGEF2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR;ReMap,B
O75030,O60281,MITF,ZNF292,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q96T37,MITF,RBM15,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O15525,O75030,MAFG,MITF,1,0,0,0,0,0,NA,DoRothEA;ReMap,C;D
O75030,O15525,MITF,MAFG,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C;D
O75030,Q99638,MITF,RAD9A,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q9ULU8,MITF,CADPS,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9BRK5,MITF,SDF4,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,P06681,MITF,C2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q8NHP8,MITF,PLBD2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q96EG1,MITF,ARSG,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q53G59,MITF,KLHL12,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,O75094,MITF,SLIT3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P02545,MITF,LMNA,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q96KV7,MITF,WDR90,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q9P0M9,MITF,MRPL27,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,O00418,MITF,EEF2K,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q96MF7,MITF,NSMCE2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q92889,MITF,ERCC4,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
O75030,Q6RW13,MITF,AGTRAP,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q9NWM3,MITF,CUEDC1,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,O95900,MITF,TRUB2,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,P21281,MITF,ATP6V1B2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9H269,MITF,VPS16,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q92738,MITF,USP6NL,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q9Y5X2,MITF,SNX8,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P54819,MITF,AK2,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,Q92574,MITF,TSC1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q9Y4C4,MITF,MFHAS1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q16512,MITF,PKN1,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;JASPAR_v2018;PAZAR,C
O75030,Q04900,MITF,CD164,1,0,0,1,0,0,NA,DoRothEA;HOCOMOCO_v11;PAZAR,C
O75030,Q12986,MITF,NFX1,1,0,0,1,0,0,NA,DoRothEA;JASPAR_v2018;PAZAR,C
O75030,Q9UHD8,MITF,SEPT9,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
O75030,P51826,MITF,AFF3,1,0,0,1,0,0,NA,DoRothEA;PAZAR;ReMap,B
