sample;palmitic acid;stearic acid;palmitoylcarnitine;picolinamide;Isovalerylcarnitine;ButyrylCarnitine;pyruvate;orotic acid;creatinine;Acetylcarnitine;Propionylcarnitine;Lactate;adenosine;phenylalanine;adenine;leucine;urea;Isoleucine;betaine;methionine;Pyroglutamic_Acid;tryptophan;cytidine;valine;proline;citrulline;carnitine;fructose;AcetylCholine;tyrosine;guanosine;Hydroxyproline;histidine;creatine;2-HG;gluconate;glutamine;S-Adenosyl-Homocysteine;beta alanine;GABA;asparagine;threonine;NAD;Glycerylphosphorylethanolamine;AMP;glucose;Glycine;serine;GSH;Succinic_Glutathione;Glutamate;N-AcetylAspartate;alanine;taurine;aspartate;S-Adenosyl-Methionine;Glycerylphosphorylcholine;Succinate;cysteic acid;2SC;ADP;aKG;ethanolamine;malate;aconitate; choline;Fructose_6-Phosphate;Glyceraldehyde_3-phosphate;fumarate;argininosuccinate;Glucose_6-Phosphate;carbamoylaspartate;GSSG;ornithine;citrate;lysine;cystathione;arginine;ATP;UDP;carbamoyl phosphate
HK2_GSK;6,69E-04;5,65E-04;2,71E-06;1,72E-04;8,33E-05;4,94E-03;6,79E-04;2,94E-03;6,86E-03;1,77E-02;2,11E-03;1,29E-02;8,15E-05;3,76E-03;1,52E-04;9,14E-03;3,53E-03;6,56E-03;9,79E-02;1,49E-03;7,52E-04;5,03E-03;4,39E-06;3,79E-03;1,17E-01;1,68E-03;1,11E-01;1,39E-04;2,76E-04;1,94E-03;0,00E+00;1,66E-03;5,71E-03;2,92E-01;4,38E-04;6,47E-04;6,43E-03;3,55E-05;1,54E-03;7,25E-04;7,99E-04;1,01E-02;1,32E-04;2,11E-03;5,33E-05;3,25E-04;9,62E-04;8,56E-04;2,99E-02;1,54E-05;1,19E-01;6,54E-03;1,37E-02;1,65E-02;7,08E-03;2,69E-04;4,10E-02;3,19E-04;5,76E-04;2,99E-06;2,60E-04;2,37E-03;1,44E-04;1,38E-02;1,15E-04;2,27E-03;3,98E-06;4,54E-05;5,00E-04;2,59E-06;7,42E-06;1,84E-04;5,32E-05;5,36E-04;1,13E-03;3,16E-04;1,29E-04;1,80E-03;4,59E-04;1,54E-05;2,37E-03
HK2_GSK;5,52E-04;4,48E-04;7,86E-06;1,57E-04;8,20E-05;4,47E-03;6,32E-04;3,02E-03;6,43E-03;1,89E-02;2,09E-03;1,19E-02;5,81E-05;3,03E-03;2,00E-04;8,09E-03;2,28E-03;6,70E-03;9,34E-02;1,31E-03;8,82E-04;4,71E-03;8,98E-06;3,23E-03;1,14E-01;1,53E-03;1,17E-01;1,24E-04;3,44E-04;2,07E-03;0,00E+00;1,67E-03;5,13E-03;3,04E-01;3,74E-04;5,51E-04;6,40E-03;3,08E-05;1,77E-03;6,04E-04;8,49E-04;9,62E-03;1,19E-04;2,13E-03;5,40E-05;3,52E-04;1,02E-03;8,53E-04;2,98E-02;1,48E-05;1,18E-01;6,75E-03;1,37E-02;1,82E-02;6,96E-03;2,08E-04;3,82E-02;2,57E-04;5,84E-04;2,08E-06;2,54E-04;2,23E-03;1,40E-04;1,34E-02;1,91E-04;2,02E-03;3,91E-06;3,50E-05;4,62E-04;2,17E-06;6,74E-06;2,06E-04;3,75E-05;1,22E-04;1,06E-03;2,97E-04;1,36E-04;4,69E-04;4,50E-04;1,11E-05;2,16E-03
786-O_DMSO;8,46E-05;6,84E-05;0,00E+00;1,52E-04;3,77E-04;3,93E-03;8,67E-04;9,97E-04;7,14E-03;2,97E-02;3,28E-03;1,32E-02;6,84E-05;1,75E-03;1,04E-04;4,34E-03;2,85E-03;3,99E-03;4,17E-02;5,23E-04;9,97E-04;2,65E-03;0,00E+00;2,33E-03;4,03E-02;7,80E-04;1,92E-01;4,85E-04;2,37E-04;1,15E-03;0,00E+00;3,02E-04;3,09E-03;3,36E-01;5,07E-04;1,34E-04;4,49E-03;2,17E-05;5,83E-04;8,16E-04;1,70E-04;2,24E-03;6,49E-05;5,70E-04;2,83E-05;9,15E-04;8,96E-05;1,41E-04;2,15E-02;9,03E-07;1,53E-01;2,62E-04;2,79E-03;5,67E-02;5,42E-03;1,13E-04;2,95E-02;2,14E-04;2,05E-03;0,00E+00;1,41E-04;3,75E-03;3,74E-05;1,04E-02;2,98E-04;1,20E-03;3,27E-06;1,56E-04;3,07E-04;0,00E+00;6,31E-06;1,49E-04;2,09E-05;2,00E-04;1,61E-03;4,08E-04;2,67E-06;1,68E-03;1,66E-04;1,58E-05;2,56E-03
786-O_DMSO;1,63E-04;5,88E-05;0,00E+00;1,20E-04;3,16E-04;3,51E-03;7,33E-04;6,20E-04;6,49E-03;2,61E-02;3,16E-03;1,08E-02;4,55E-05;1,43E-03;1,01E-04;3,69E-03;2,41E-03;3,43E-03;3,84E-02;4,50E-04;1,04E-03;2,26E-03;0,00E+00;1,83E-03;3,91E-02;6,61E-04;1,71E-01;3,75E-04;2,26E-04;8,79E-04;0,00E+00;2,88E-04;2,49E-03;3,64E-01;6,85E-04;1,29E-04;3,72E-03;1,87E-05;5,66E-04;7,36E-04;1,45E-04;1,95E-03;6,32E-05;6,15E-04;1,55E-05;9,15E-04;6,47E-05;1,18E-04;2,26E-02;0,00E+00;1,60E-01;4,01E-04;2,86E-03;5,83E-02;5,20E-03;1,21E-04;2,86E-02;1,83E-04;2,13E-03;0,00E+00;1,25E-04;4,39E-03;1,80E-04;1,13E-02;3,62E-04;1,08E-03;2,37E-06;1,39E-04;4,16E-04;0,00E+00;4,22E-06;1,06E-04;1,38E-05;3,79E-05;1,76E-03;3,19E-04;8,69E-07;6,18E-04;1,81E-04;1,35E-05;2,77E-03
786-O_DMSO;1,15E-04;4,23E-05;0,00E+00;1,93E-04;3,36E-04;3,80E-03;9,86E-04;1,54E-03;7,71E-03;3,17E-02;2,92E-03;1,32E-02;3,55E-05;1,86E-03;1,25E-04;4,72E-03;2,61E-03;3,98E-03;4,44E-02;5,32E-04;1,09E-03;2,49E-03;0,00E+00;2,20E-03;4,52E-02;8,26E-04;1,86E-01;4,42E-04;2,28E-04;1,09E-03;0,00E+00;2,67E-04;2,95E-03;3,09E-01;6,13E-04;1,14E-04;4,93E-03;2,01E-05;6,70E-04;8,88E-04;1,80E-04;2,18E-03;7,64E-05;7,00E-04;3,33E-05;9,65E-04;1,02E-04;1,48E-04;2,24E-02;0,00E+00;1,69E-01;4,00E-04;2,84E-03;5,80E-02;6,25E-03;1,27E-04;2,97E-02;1,50E-04;2,19E-03;0,00E+00;1,27E-04;4,08E-03;8,74E-05;1,20E-02;4,37E-04;1,20E-03;3,61E-06;2,08E-04;4,19E-04;0,00E+00;1,49E-05;1,86E-04;2,01E-05;5,60E-05;1,57E-03;3,48E-04;1,73E-06;6,57E-04;1,65E-04;1,50E-05;2,78E-03
786-O_Ros;2,89E-04;1,02E-04;0,00E+00;1,37E-04;5,63E-04;4,04E-03;6,85E-04;1,24E-03;6,86E-03;3,20E-02;3,51E-03;1,64E-02;9,26E-05;1,54E-03;1,04E-04;4,13E-03;2,65E-03;3,18E-03;3,80E-02;5,41E-04;1,02E-03;2,08E-03;1,37E-04;1,88E-03;3,78E-02;6,67E-04;1,67E-01;5,99E-04;2,47E-04;8,59E-04;1,42E-05;1,47E-04;2,88E-03;3,55E-01;8,95E-04;1,36E-04;3,53E-03;1,35E-05;7,00E-04;1,16E-03;1,56E-04;1,68E-03;8,73E-05;9,43E-04;2,22E-05;9,71E-04;1,05E-04;1,29E-04;2,06E-02;0,00E+00;1,48E-01;2,77E-04;2,27E-03;5,32E-02;4,20E-03;1,38E-04;4,41E-02;1,70E-04;1,92E-03;0,00E+00;1,11E-04;5,10E-03;2,23E-04;1,24E-02;4,82E-04;1,61E-03;2,54E-06;2,58E-04;4,70E-04;0,00E+00;4,58E-06;4,91E-05;1,13E-05;4,53E-05;2,61E-03;3,48E-04;2,13E-06;6,98E-04;2,05E-04;9,33E-06;3,04E-03
786-O_Ros;1,23E-04;0,00E+00;0,00E+00;2,53E-04;6,47E-04;3,79E-03;1,07E-03;1,37E-03;8,45E-03;3,19E-02;3,27E-03;2,06E-02;4,37E-05;2,10E-03;1,02E-04;5,03E-03;3,39E-03;5,24E-03;4,71E-02;7,76E-04;1,05E-03;2,70E-03;1,20E-04;2,42E-03;4,07E-02;9,00E-04;1,63E-01;7,60E-04;2,19E-04;1,16E-03;1,12E-05;1,94E-04;3,49E-03;3,45E-01;1,06E-03;8,53E-05;5,70E-03;1,79E-05;6,00E-04;9,79E-04;1,85E-04;2,19E-03;1,35E-04;8,21E-04;2,00E-05;9,55E-04;1,41E-04;1,65E-04;1,91E-02;0,00E+00;1,44E-01;2,33E-04;2,74E-03;5,13E-02;3,61E-03;1,29E-04;4,07E-02;2,12E-04;1,89E-03;0,00E+00;1,24E-04;4,52E-03;7,28E-05;1,13E-02;5,22E-04;1,58E-03;3,99E-06;2,71E-04;3,40E-04;0,00E+00;1,10E-05;5,26E-05;7,56E-06;6,09E-05;2,42E-03;4,80E-04;2,01E-06;8,10E-04;2,22E-04;9,46E-06;2,74E-03
786-O_Ros;1,74E-04;0,00E+00;0,00E+00;1,45E-04;6,44E-04;3,70E-03;6,41E-04;1,28E-03;6,23E-03;2,73E-02;3,77E-03;1,47E-02;6,66E-05;1,50E-03;8,41E-05;3,75E-03;2,30E-03;3,24E-03;3,45E-02;5,14E-04;1,09E-03;2,10E-03;1,24E-04;1,77E-03;3,75E-02;5,76E-04;1,71E-01;5,18E-04;2,57E-04;8,80E-04;1,43E-05;2,25E-04;2,34E-03;3,74E-01;9,20E-04;1,03E-04;3,85E-03;1,35E-05;5,71E-04;7,76E-04;1,71E-04;1,60E-03;1,41E-04;7,16E-04;1,63E-05;9,59E-04;8,21E-05;1,18E-04;2,03E-02;0,00E+00;1,51E-01;1,83E-04;2,36E-03;4,84E-02;3,41E-03;1,37E-04;4,18E-02;1,19E-04;1,82E-03;0,00E+00;1,05E-04;4,27E-03;7,40E-05;1,10E-02;4,42E-04;1,47E-03;2,41E-06;2,09E-04;3,37E-04;0,00E+00;6,23E-06;5,54E-05;7,02E-06;4,91E-05;2,16E-03;3,09E-04;2,02E-06;7,23E-04;1,71E-04;6,17E-06;2,51E-03
786-O_Filgot;2,47E-04;8,18E-05;0,00E+00;2,14E-04;2,59E-04;3,63E-03;1,02E-03;9,96E-04;8,00E-03;3,32E-02;2,63E-03;1,50E-02;1,85E-05;2,24E-03;5,37E-05;5,25E-03;3,57E-03;5,38E-03;5,46E-02;7,45E-04;9,37E-04;3,05E-03;0,00E+00;2,38E-03;4,04E-02;8,92E-04;1,86E-01;8,76E-04;2,63E-04;1,16E-03;0,00E+00;3,04E-04;4,06E-03;3,18E-01;5,68E-04;1,30E-04;6,48E-03;1,84E-05;5,77E-04;7,69E-04;2,10E-04;2,37E-03;1,16E-04;5,63E-04;2,31E-05;9,04E-04;1,15E-04;1,53E-04;2,31E-02;1,27E-06;1,48E-01;3,60E-04;2,99E-03;5,37E-02;5,44E-03;1,24E-04;2,93E-02;2,45E-04;2,12E-03;0,00E+00;1,84E-04;4,08E-03;3,83E-05;1,03E-02;3,40E-04;1,23E-03;1,02E-05;1,21E-04;3,15E-04;0,00E+00;2,09E-05;1,03E-04;2,44E-05;6,28E-04;2,22E-03;4,68E-04;2,39E-06;3,19E-03;3,25E-04;1,57E-05;2,78E-03
786-O_Filgot;3,09E-04;1,10E-04;0,00E+00;1,69E-04;2,11E-04;3,29E-03;8,60E-04;9,08E-04;7,98E-03;3,06E-02;2,60E-03;1,36E-02;1,96E-05;1,96E-03;6,80E-05;4,89E-03;3,30E-03;4,57E-03;4,79E-02;5,79E-04;1,06E-03;2,77E-03;0,00E+00;2,21E-03;4,19E-02;8,64E-04;1,71E-01;8,00E-04;2,07E-04;1,02E-03;0,00E+00;2,56E-04;3,41E-03;3,29E-01;5,92E-04;1,01E-04;5,67E-03;1,86E-05;6,43E-04;8,17E-04;1,60E-04;2,22E-03;6,71E-05;4,93E-04;3,52E-05;8,61E-04;1,11E-04;1,60E-04;2,24E-02;2,53E-06;1,69E-01;3,02E-04;2,88E-03;5,55E-02;5,54E-03;1,17E-04;2,66E-02;2,69E-04;2,16E-03;0,00E+00;1,80E-04;4,30E-03;8,26E-05;1,11E-02;2,68E-04;1,23E-03;6,71E-06;1,11E-04;3,37E-04;0,00E+00;1,63E-05;1,05E-04;1,60E-05;9,74E-05;2,19E-03;4,27E-04;3,78E-06;1,18E-03;3,40E-04;1,56E-05;2,77E-03
786-O_Filgot;1,99E-04;4,53E-05;0,00E+00;2,62E-04;2,06E-04;3,33E-03;1,42E-03;1,07E-03;9,99E-03;3,05E-02;2,33E-03;1,91E-02;7,09E-06;2,57E-03;4,20E-05;6,63E-03;4,18E-03;6,91E-03;6,24E-02;8,37E-04;9,22E-04;3,73E-03;0,00E+00;3,27E-03;4,41E-02;1,23E-03;1,77E-01;1,03E-03;2,34E-04;1,33E-03;0,00E+00;3,61E-04;4,50E-03;3,04E-01;5,99E-04;1,18E-04;8,38E-03;1,61E-05;6,74E-04;7,57E-04;2,57E-04;2,89E-03;5,66E-05;6,98E-04;2,61E-05;8,49E-04;3,38E-04;1,95E-04;2,09E-02;0,00E+00;1,52E-01;3,22E-04;3,43E-03;5,54E-02;6,06E-03;1,07E-04;2,65E-02;3,32E-04;2,09E-03;0,00E+00;1,33E-04;4,00E-03;2,05E-04;1,04E-02;2,51E-04;1,46E-03;7,79E-06;1,09E-04;3,50E-04;0,00E+00;1,70E-05;1,06E-04;1,69E-05;7,78E-05;2,07E-03;5,83E-04;0,00E+00;9,55E-04;2,55E-04;1,52E-05;2,84E-03
786-O_GSK;3,27E-04;1,03E-04;0,00E+00;2,43E-04;2,08E-04;3,19E-03;1,14E-03;1,10E-03;8,62E-03;2,95E-02;2,51E-03;1,60E-02;6,39E-06;2,26E-03;3,55E-05;5,54E-03;3,22E-03;5,41E-03;5,38E-02;7,78E-04;9,15E-04;3,14E-03;1,74E-06;3,00E-03;4,13E-02;9,48E-04;1,94E-01;7,25E-04;2,64E-04;1,43E-03;0,00E+00;3,53E-04;3,62E-03;3,24E-01;4,88E-04;1,16E-04;6,98E-03;2,04E-05;5,28E-04;7,22E-04;2,02E-04;2,51E-03;8,92E-05;6,30E-04;2,91E-05;8,62E-04;1,39E-04;1,63E-04;2,19E-02;2,26E-06;1,39E-01;2,33E-04;3,34E-03;5,42E-02;5,79E-03;1,16E-04;2,99E-02;2,34E-04;2,05E-03;0,00E+00;1,49E-04;3,84E-03;8,24E-05;9,77E-03;3,57E-04;1,18E-03;5,41E-06;1,06E-04;2,91E-04;0,00E+00;2,18E-05;1,15E-04;1,72E-05;1,02E-04;1,89E-03;4,79E-04;1,85E-06;1,13E-03;2,32E-04;1,57E-05;2,61E-03
